,i
683,299.19604940042393
684,158.6357980712267
685,492.5961821730919
686,52.65467838064218
687,166.8392861770189
688,551.9830011503085
689,271.76152534721643
690,399.51177614726316
691,284.4550944104712
692,400.14673951746033
693,984.417244727571
694,322.2297487071592
695,217.41987342450636
696,465.61545578444134
697,494.85039491607967
698,159.3401901513459
699,290.72563020074506
700,449.80885248660593
701,952.6254140085305
702,273.19610360088376
703,1144.0375804605894
704,948.867451701592
705,249.4415136401375
706,145.42284712395744
707,141.81912971622978
708,154.28261802323524
709,845.5215441387342
710,446.21133883413614
711,128.70951088843066
712,366.52305818429886
713,65.28140201256066
714,288.00603916856187
715,300.97365796499787
716,142.55549467838898
717,379.076490165016
718,186.65460544365894
719,186.8928143907999
720,974.6416218868928
721,272.71898775875167
722,388.0534002443814
723,239.96558985775326
724,293.9894872811981
725,1271.232684232104
726,75.72770668478248
727,112.1949188471821
728,1396.7546662190541
729,137.6222174952951
730,165.4092984679456
731,190.6884752329853
732,126.35402896523573
733,136.6040597090282
734,130.03540921425335
735,265.70156823173653
736,205.47478189227456
737,139.42639050544915
738,985.0244366627712
739,528.5151583185855
740,327.2539071479913
741,211.21634459946858
742,1156.0218629940632
743,282.4344753903626
744,160.79621868924858
745,1092.5692878695754
746,192.22182094100776
747,208.55354362554326
748,539.0490805660337
749,11.739741996001595
750,166.32453293276842
751,735.0060904785978
752,204.81995535416047
753,257.5207743508274
754,1202.9473679966386
755,129.4528319003014
756,193.96366478096795
757,69.89800265796003
758,540.1002887583472
759,217.85649663245357
760,224.4304290898779
761,327.0246033220816
762,221.48622643451714
763,1394.273702486628
764,484.3286052111618
765,115.43942907478133
766,515.9552593378847
767,172.57445684734276
768,129.00378750876857
769,291.919089245603
770,251.04168012141207
771,106.05084001114739
772,579.2419395483457
773,227.0197987920195
774,151.41922306333203
775,104.13819840830404
776,1720.3596421237069
777,111.54403054843752
778,176.64660674491498
779,291.03478448355617
780,96.44224628312622
781,232.08986299876472
782,342.5334238299329
783,385.7323427638719
784,204.10266577389277
785,899.1089071711482
786,151.41549906505847
787,239.6441585009599
788,163.60368219467358
789,1358.6621094688119
790,398.40721311713656
791,196.9719995737954
792,783.8304867556179
793,184.03130544114407
794,187.14020352520348
795,133.23268878413327
796,152.15463987903024
797,320.8379626028093
798,2153.5877929126837
799,311.6644954297301
800,98.83732974725662
801,196.24288890072754
802,190.51971562868687
803,702.4673984069425
804,682.1689547994131
805,65.66914196878157
806,92.6752679542799
807,527.7719848363113
808,1288.3121462855288
809,171.4259568789065
810,151.188508277846
811,212.8287464929548
812,188.04845022366334
813,319.67112790191925
814,232.45628443790088
815,211.25939086944422
816,162.71971268712255
817,220.15681334709484
818,114.76770187444531
819,75.00415814815615
820,143.96154676676903
821,159.8816299725
822,238.99041113416433
823,382.46383573781077
824,135.8826809104581
825,466.4865812815704
826,198.55377890259174
827,130.13367444742318
828,2178.511386785496
829,182.41133952507076
830,165.06038984409875
831,140.07673521295425
832,219.41433495818777
833,112.51743723039675
834,182.1020492436362
835,295.19530763940185
836,1406.515177385413
837,342.70255444776166
838,262.72960713029335
839,312.18506543989156
840,179.91972539868658
841,190.5729391330855
842,452.1698052635404
843,708.976116991582
844,311.71760855176717
845,236.27944798738008
846,116.3599214718368
847,544.4088601122185
848,80.64367787875386
849,2986.7090322935737
850,653.6574771993977
851,157.2114837832261
852,839.4180734160843
853,338.20679255443764
854,714.4059312503106
855,1291.8612291549941
856,746.6616119110232
857,487.90076117148607
858,249.07194507688203
859,500.74619622376343
860,930.4606513015385
861,799.3660710088914
862,247.18235737072914
863,172.3699402380893
864,131.2663087742149
865,226.6834498834286
866,197.3068922605006
867,155.0177803108259
868,177.04457547191495
869,265.18349614306237
870,326.35370788319227
871,708.2118034789926
872,60.94519442374521
873,145.7230773580424
874,327.15618912408047
875,79.9420839522882
876,221.48194646204857
877,710.5059713147004
878,11386.980660639056
879,253.34857072397148
880,243.94439627183283
881,214.02215044613783
882,470.0898025908252
883,1260.8152175489056
884,386.5042556025829
